,"https://7esl.com/synonyms/#comments, https://justenglish.me/2014/04/18/synonyms-for-the-96-most-commonly-used-words-in-english/"
right,"correct, accurate, good, just, honest, proper, suitable, legal, fair"
rob,"steal, lift"
rock,stone
round,circular
rude,"low, gross"
rug,carpet
ruin,"waste, destroy, end, kill"
rule,law
run,"race, speed, hurry, escape"
sad,unhappy
safe,"good, fine, harmless, risk-free"
sail,"voyage, cruise, navigate"
same,alike
satisfactory,"capable, good, proper, pleasant, great, suitable, valid, generous, friendly, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful"
satisfied,"cheerful, happy, pleased, glad, delighted, gay"
save,"effect, keep, set, achieve, build, put, attach, establish, do, rescue, place"
say,speak
scared,"afraid, frightened, terrified, shy, worried, shocked"
scheme,"method, plan, map, arrangement, procedure, diagram, draw, design, way"
score,"bag, fetch, secure, find, obtain, earn, rep, up, gain, acquire, pick, accept, by, get, catch, win, come, net, collect"
scream,"yell, shout, cry, call"
screen,"cover, hide"
search,"seek, hunt"
section,"piece, share, part"
secure,"score, fetch, bag, find, obtain, earn, rep, up, gain, acquire, pick, accept, by, get, catch, win, come, net, collect"
see,"observe, recognize, eye, peer, sight, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look"
select,"remove, rob, purchase, take, lift, occupy, buy, steal, acquire, pick, choose, prefer, catch, win, hold"
serve,"help, attend, on, wait, encourage, benefit, back, support"
set,"site, effect, keep, location, attach, position, situation, place, space, achieve, build, region, area, state, spot, put, station, set, establish, do, save"
settle,"resolve, decide, choose"
share,"piece, section, part"
sharp,"attractive, lively, animated, bright, keen, spicy, exciting, fascinating, curious, intelligent, challenging, interesting"
sheet,page
shiny,"intelligent, smart, brilliant, bright"
shocked,"worried, afraid, terrified, frightened, shy, scared"
shocking,"plain, unpleasant, horrible, ugly, frightening, gross"
shop,store
shout,"cry, scream"
show,"display, exhibit, present, note, point, to, indicate, explain, reveal, prove, demonstrate"
shut,close
shy,embarrassed
sick,ill
sight,"observe, recognize, eye, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look"
sign,"price, effect, note, ticket, notice, impress, stamp, brand, mark, label"
significant,"well-known, important, principal, essential, valuable, necessary, considerable, primary, famous"
silent,"quiet, peaceful, still, calm"
silly,"comic, funny, amusing"
simple,easy
sing,"perform, talk, blab"
site,"state, spot, set, station, region, location, position, situation, place, space, area"
situation,"site, state, spot, set, station, region, location, position, place, space, area"
slice,"reduce, cut, crop"
slide,"sneak, slip"
slight,"limited, small, tiny, little, minute"
slim,thin
slip,"slide, sneak"
slow,"gradual, late, behind"
small,"limited, slight, tiny, little, minute"
smart,bright
smooth,"quiet, still, peaceful, mild, calm"
space,"site, state, spot, set, station, region, location, position, situation, place, area"
speak,"talk, discuss, communicate"
speech,lecture
speed,"escape, race, run, hurry"
spend,"employ, exercise, use"
spicy,"attractive, lively, animated, curious, bright, keen, exciting, fascinating, sharp, intelligent, challenging, interesting"
spot,"site, state, problem, jam, set, station, region, location, position, situation, place, space, area"
spy,spot
stamp,"price, effect, note, sign, ticket, notice, impress, brand, mark, label"
start,"open, initiate, commence, launch, begin"
state,"nation, country, public"
station,"site, state, spot, set, region, location, position, situation, place, space, area"
stay,"quit, stop, end, finish, pause"
steady,"proper, exact, actual, right, valid, accurate, loyal, genuine, real"
steal,"remove, rob, purchase, take, lift, occupy, buy, acquire, pick, choose, prefer, select, catch, win, hold"
still,"quiet, smooth, peaceful, mild, silent, calm"
stir,"walk, jog, coast, slide, inch, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow"
stone,rock
stop,"stay, pause, end, finish, quit"
store,shop
story,"account, record"
strange,"unusual, curious, irregular"
street,highway
study,"learn, explore, analyze"
stupid,"uninteresting, plain, boring, dead, dull, slow"
substantial,"huge, great, broad, tall, enormous, big, large"
suggest,propose
suitable,"proper, pleasant, superior, qualified, safe, capable, great, right, valid, reliable, fine, satisfactory, just, fair, friendly, legal, accurate, correct, profitable, helpful, good, generous, honest, genuine, kindly, excellent, wonderful"
superior,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, friendly, reliable, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful"
